name,job,sex,personality
Jester,unknown,male,unknown
Dr. Miller,doctor,male,unknown
Mr. Waltham,unknown,male,unknown
Evil Bitch,unknown,female,evil
Guru Saj,unknown,male,unknown
Dr. Johnson,doctor,male,unknown
Tony,unknown,male,unknown
The Lurker,unknown,female,unknown
The Teacher,teacher,male,unknown
Elizabeth,unknown,female,unknown
Kiki,unknown,female,unknown
Phoebe Sr.,busker,female,optimistic
Fake Monica,unknown,female,unknown
Judge,judge,female,unknown
Woman,unknown,female,unknown
Roger,unknown,male,unknown
Joey's Hand Twin,unknown,male,unknown
Friend No. 2,unknown,female,unknown
Ross and Chandler,professor and clerk,male and male,nerdy and humorous
Dr. Leedbetter,doctor,male,unknown
Both,unknown,unknown,unknown
Policeman,policeman,male,unknown
Joey/Drake,actor,male,casual
Leader,unknown,female,unknown
Kyle,unknown,male,unknown
Nurse #2,nurse,female,unknown
Gerston,unknown,male,unknown
Waitress,waitress,female,unknown
Joanna,unknown,female,unknown
Female Student,student,female,unknown
The Waiter,waiter,male,unknown
Molly,unknown,female,unknown
Tom,unknown,male,unknown
Mrs. Bing,unknown,female,unknown
Nurse #1,nurse,female,unknown
Another Scientist,scientist,male,unknown
Hotel Clerk,hetel clerk,male,unknown
Hold Voice,unknown,unknown,unknown
Another Tour Guide,tour guide,male,unknown
Fireman No. 1,fireman,male,unknown
Richards Date,unknown,female,unknown
Kristen,unknown,female,unknown
Whitney,unknown,female,unknown
Susan,unknown,female,unknown
Fireman #1,fireman,male,unknown
Leslie,unknown,female,unknown
Teacher,teacher,female,unknown
Dr. Drake Remoray,doctor,male,unknown
Ms. McKenna,unknown,female,unknown
Kori,unknown,female,unknown
Her-Friends,unknown,female,unknown
Janine,unknown,female,unknown
Hypnosis Tape,unknown,unknown,unknown
Commercial,unknown,unknown,unknown
Jake,unknown,male,unknown
Frank Sr.,unknown,male,unknown
Hombre Man,unknown,male,unknown
Mrs. Green,unknown,female,unknown
Danny,unknown,male,unknown
Front Desk Clerk,clerk,female,unknown
Ursula,unknown,female,unknown
Rick,unknown,male,unknown
Joey,actor,male,casual
Message,unknown,unknown,unknown
Hoshi,unknown,male,unknown
Russell,unknown,male,unknown
Mrs. Burgin,unknown,female,unknown
Jessica Lockhart,unknown,female,unknown
A Waiter,waiter,male,unknown
Mr. Heckles,unknown,male,unknown
Helena,unknown,female,unknown
Gary,unknown,male,unknown
Larry,unknown,male,unknown
